dateres,mpnumber,rec_acres,new_units,parcelct,shape_area,pet_no,dev_type,desc_lpd,objectid,unit_price,petitioner,rehab_unit,netarea,orig_fid,nezname,inactive,gen_bound,Shape__Area,Shape__Length
2004/03/31 00:00:00+00,1970/01/01 00:00:00+00,83.85,59,795,88.07,,new,11 houses (new) & 48 townhouses (new),60,"$78,000/$98,000-$174,000",Northstar CDC,,59.15,1,Puritan/Lodge/Parkside/Petoskey,1,"n-north side of Puritan, e-Parkside, s-Lodge, w-Petoskey",653327.875,3285.23298914218
2004/04/02 00:00:00+00,1970/01/01 00:00:00+00,5.36,,78,7.18,,rehab,65 condo's (rehab),61,"$90,000-$250,000",Garden Court Apartments LLC/The Farbman Group,65,7.49,1,Garden Court Apartments,,"n-E. Jefferson, e-McDougall, s-Franklin, w-Joseph Campau",53168.20703125,923.970465891964
2004/04/21 00:00:00+00,1970/01/01 00:00:00+00,13.43,270,50,16.86,,new,270 houses & townhomes (new),62,"$250,000-$300,000 & $500,000+","Phoenix Group Consultants, Inc.",,12.14,1,Belle Harbor Estates,1,"n-canal north of Klenk, e-Fox Creek Canal, s-Detroit River, w-Lakewood E. Park",124865.92578125,1741.52375659833
2004/04/28 00:00:00+00,1970/01/01 00:00:00+00,10.61,,7,10.45,,rehab,36 lofts (rehab),63,"$319,000-$379,000",Aspen Custom Builders of Colorado/Quint Construction Co.,36,4.66,1,Jefferson/Woodbridge/Franklin,1,"n-Jefferson & Woodbridge, e-Orleans, s-railroad, w-west of Riopelle",77328.66015625,1288.31503775858
2004/05/12 00:00:00+00,1970/01/01 00:00:00+00,50.27,31,324,55.64,,new,NULL31 houses (new). $5.425m investment,64,"$150,000-$200,000","West Town Homes I, LLC/Community Planning Assoc. & Urban Development Group (Peter Barclae of Troy)",,36.88,0,West Town I,,"n-rxr/Tireman, e-Rutherford/rxr, s-north & south sides of Tireman, w-Asbury Park",412054.65625,3700.98292660511
2004/06/23 00:00:00+00,1970/01/01 00:00:00+00,17.05,72,169,18.9,,new,72 houses (new),65,"$80,000",Urban Entity Group LLC/Peter Barclae of Troy,,13.23,0,Six Oaks,1,"n-Dakota, e-Brush, s-south side of Edgevale, w-John R",140297.98828125,1556.16784187154
2004/07/28 00:00:00+00,1970/01/01 00:00:00+00,12.77,37,86,15.1,,rehab,37 condo's (rehab),66,"$138,000-$347,000","E&B Brewery Lofts, Inc./Pellerito Foods of Eastern Market",,9.23,0,E & B Brewery Lofts,,"n-Division, e-railroad, s-Gratiot/Fisher, w-Market & Riopelle",111811.03125,1408.73036015623
2004/09/08 00:00:00+00,1970/01/01 00:00:00+00,14.95,34,162,16.82,,new,houses (new) & 34 townhomes (new),67,"$70,000-$80,000",Pittman Homes LDHA LP/Phoenix Group,,10.35,0,Pittman Homes,1,"n-Pierce, e-Chene, s-Wilkins, w-St. Aubin",124590.1875,1447.19935132534
2004/09/15 00:00:00+00,1970/01/01 00:00:00+00,1.9,,5,3.31,,rehab,40 condo's (rehab),68,"$250,000-$400,000",Milestone Reality Services/Operating Engineers Local 324,40,2.68,0,Woodward/Michigan,,"n-State, e-Woodward, s-Michigan, w-Griswold",24513.03125,644.370039097267
2004/10/06 00:00:00+00,1970/01/01 00:00:00+00,23.29,11,257,26.46,,new,11 houses (new),69,low/mod,Northstar CDC,,18.87,0,Parkside/Puritan/Princeton/Midland,,"n-Puritan, e-Princeton, s-Midland/Lodge, w-Parkside",196267.23046875,2062.71836013298
